time,p,q,r,phi,theta,psi,delta1,delta2,delta3,delta4
0,0,0.001,0,0,0,0,0,0,0,0
0.1,0.003,0.006,-1.44444e-07,0.00015,0.00035,1.98611e-08,0.00260928,0.0051837,-0.00258594,-0.00520711
0.2,0.0039955,0.00765792,-6.78963e-07,0.000499775,0.0010329,2.02055e-07,0.00348021,0.00689736,-0.00343876,-0.0069388
0.3,0.00498351,0.00930459,-1.53442e-06,0.000948726,0.00188102,7.07741e-07,0.00434709,0.00859689,-0.00428247,-0.00866122
0.4,0.00596504,0.0109415,-2.78796e-06,0.00149616,0.00289332,1.73179e-06,0.00521077,0.0102838,-0.00511795,-0.0103758
0.5,0.00693913,0.0125671,-4.51822e-06,0.00214137,0.00406875,3.50758e-06,0.00607034,0.0119568,-0.0059444,-0.0120809
0.6,0.00790481,0.0141803,-6.80531e-06,0.00288358,0.00540612,6.30537e-06,0.00692491,0.0136146,-0.00676101,-0.0137753
0.7,0.00886113,0.0157796,-9.73096e-06,0.0037219,0.00690411,1.04305e-05,0.00777357,0.0152559,-0.00756699,-0.0154572
0.8,0.00980714,0.0173638,-1.33787e-05,0.00465536,0.00856127,1.62214e-05,0.00861544,0.0168794,-0.00836159,-0.0171254
0.9,0.0107419,0.0189315,-1.78339e-05,0.00568289,0.010376,2.40472e-05,0.00944961,0.0184839,-0.00914406,-0.0187782
1,0.0116645,0.0204815,-2.31837e-05,0.00680333,0.0123466,3.43058e-05,0.0102752,0.0200682,-0.00991367,-0.0204142
1.1,0.0125741,0.0220124,-2.95176e-05,0.00801543,0.0144713,4.74209e-05,0.0110913,0.021631,-0.0106697,-0.022032
1.2,0.0134696,0.0235231,-3.69269e-05,0.00931787,0.016748,6.38393e-05,0.0118971,0.0231713,-0.0114115,-0.02363
1.3,0.0143504,0.0250122,-4.55049e-05,0.0107092,0.0191747,8.40286e-05,0.0126918,0.0246879,-0.0121384,-0.025207
1.4,0.0152154,0.0264787,-5.53472e-05,0.012188,0.0217491,0.000108473,0.0134744,0.0261797,-0.0128497,-0.0267614
1.5,0.0160639,0.0279212,-6.65513e-05,0.0137527,0.024469,0.000137673,0.0142441,0.0276457,-0.0135449,-0.0282919
1.6,0.016895,0.0293386,-7.92166e-05,0.0154015,0.0273318,0.000172138,0.0150001,0.0290846,-0.0142232,-0.029797
1.7,0.017708,0.0307298,-9.34448e-05,0.0171328,0.0303349,0.000212386,0.0157417,0.0304956,-0.0148842,-0.0312755
1.8,0.0185019,0.0320937,-0.000109339,0.0189448,0.0334758,0.000258942,0.0164679,0.0318777,-0.0155273,-0.0327259
1.9,0.0192761,0.033429,-0.000127004,0.0208356,0.0367515,0.000312328,0.0171781,0.0332298,-0.0161519,-0.034147
2,0.0200298,0.0347349,-0.000146548,0.0228032,0.0401592,0.000373066,0.0178714,0.034551,-0.0167575,-0.0355374
2.1,0.0207623,0.0360101,-0.000168077,0.0248457,0.0436958,0.000441675,0.0185472,0.0358405,-0.0173436,-0.0368958
2.2,0.0214728,0.0372537,-0.000191701,0.026961,0.0473582,0.00051866,0.0192047,0.0370973,-0.0179098,-0.0382211
2.3,0.0221606,0.0384647,-0.000217531,0.0291469,0.0511432,0.000604516,0.0198433,0.0383207,-0.0184555,-0.0395121
2.4,0.0228252,0.0396422,-0.000245678,0.0314012,0.0550475,0.000699723,0.0204621,0.0395097,-0.0189804,-0.0407674
2.5,0.0234658,0.0407851,-0.000276254,0.0337217,0.0590676,0.00080474,0.0210607,0.0406636,-0.019484,-0.041986
2.6,0.0240818,0.0418926,-0.00030937,0.0361062,0.0631999,0.000920003,0.0216383,0.0417817,-0.019966,-0.0431668
2.7,0.0246726,0.0429638,-0.000345139,0.0385521,0.067441,0.00104592,0.0221943,0.0428632,-0.0204259,-0.0443087
2.8,0.0252377,0.0439978,-0.000383673,0.0410572,0.0717871,0.00118288,0.0227282,0.0439074,-0.0208634,-0.0454106
2.9,0.0257765,0.0449939,-0.000425082,0.0436188,0.0762344,0.00133123,0.0232394,0.0449137,-0.0212782,-0.0464714
3,0.0262885,0.0459513,-0.000469477,0.0462347,0.0807791,0.00149127,0.0237274,0.0458815,-0.02167,-0.0474903
3.1,0.0267732,0.0468691,-0.000516967,0.048902,0.0854172,0.00166329,0.0241916,0.04681,-0.0220384,-0.0484663
3.2,0.02723,0.0477468,-0.000567658,0.0516183,0.0901448,0.00184752,0.0246316,0.0476989,-0.0223832,-0.0493985
3.3,0.0276587,0.0485836,-0.000621655,0.0543809,0.0949577,0.00204414,0.0250469,0.0485474,-0.0227041,-0.050286
3.4,0.0280587,0.0493789,-0.000679062,0.0571872,0.0998518,0.0022533,0.0254371,0.0493552,-0.0230009,-0.0511281
3.5,0.0284296,0.0501321,-0.000739977,0.0600342,0.104823,0.0024751,0.0258018,0.0501217,-0.0232734,-0.0519238
3.6,0.0287712,0.0508425,-0.000804495,0.0629194,0.109867,0.00270956,0.0261406,0.0508465,-0.0235213,-0.0526726
3.7,0.029083,0.0515098,-0.00087271,0.0658398,0.114979,0.00295669,0.0264532,0.0515292,-0.0237445,-0.0533738
3.8,0.0293648,0.0521333,-0.000944709,0.0687927,0.120156,0.0032164,0.0267393,0.0521694,-0.0239428,-0.0540266
3.9,0.0296163,0.0527126,-0.00102057,0.0717751,0.125392,0.00348858,0.0269986,0.0527666,-0.0241161,-0.0546306
4,0.0298372,0.0532473,-0.00110038,0.0747841,0.130684,0.00377305,0.0272307,0.0533207,-0.0242642,-0.0551851
4.1,0.0300274,0.0537371,-0.00118421,0.0778167,0.136026,0.00406954,0.0274357,0.0538313,-0.024387,-0.0556897
4.2,0.0301866,0.0541815,-0.00127212,0.0808701,0.141415,0.00437776,0.0276131,0.0542981,-0.0244845,-0.056144
4.3,0.0303147,0.0545802,-0.00136417,0.083941,0.146845,0.00469734,0.0277629,0.0547209,-0.0245565,-0.0565475
4.4,0.0304115,0.054933,-0.00146041,0.0870266,0.152313,0.00502783,0.0278849,0.0550995,-0.024603,-0.0568999
4.5,0.0304771,0.0552396,-0.00156089,0.0901237,0.157813,0.00536875,0.027979,0.0554337,-0.0246239,-0.0572008
